ZIP,Fuel,Vehicles,LAT,LNG
90704,Battery Electric,31,33.399248,-118.435601
90706,Battery Electric,883,33.887821,-118.12725
90707,Battery Electric,3,,
90710,Battery Electric,495,33.799904,-118.298661
90712,Battery Electric,771,33.849034,-118.147902
90713,Battery Electric,566,33.847989,-118.112601
90714,Battery Electric,2,,
90715,Battery Electric,335,33.841027,-118.079141
90716,Battery Electric,83,33.830482,-118.073451
90717,Battery Electric,392,33.793809,-118.31717
90720,Battery Electric,1030,33.795012,-118.062692
90723,Battery Electric,307,33.898883,-118.166629
90731,Battery Electric,741,33.731442,-118.278869
90732,Battery Electric,597,33.74212,-118.312878
90733,Battery Electric,3,,
90734,Battery Electric,6,,
90740,Battery Electric,906,33.758405,-118.075043
90742,Battery Electric,52,33.716666,-118.076906
90743,Battery Electric,33,33.726516,-118.090327
90744,Battery Electric,247,33.779284,-118.261723
90745,Battery Electric,880,33.822725,-118.264109
90746,Battery Electric,575,33.859171,-118.252272
90748,Battery Electric,2,,
90749,Battery Electric,4,,
90755,Battery Electric,431,33.803431,-118.16977
90801,Battery Electric,4,,
90802,Battery Electric,815,33.745762,-118.208042
90803,Battery Electric,1190,33.756289,-118.130636
90804,Battery Electric,390,33.781686,-118.148365
90805,Battery Electric,745,33.864617,-118.180567
90806,Battery Electric,481,33.805401,-118.187701
90807,Battery Electric,974,33.82774,-118.17482
90808,Battery Electric,1249,33.823943,-118.111335
90810,Battery Electric,304,33.819814,-118.222416
90813,Battery Electric,278,33.782259,-118.196793
90814,Battery Electric,483,33.771616,-118.143631
90815,Battery Electric,1112,33.794348,-118.116391
90816,Battery Electric,1,,
90831,Battery Electric,2,33.768334,-118.201636
90853,Battery Electric,1,,
90895,Battery Electric,1,,
91001,Battery Electric,1645,34.194489,-118.138263
91003,Battery Electric,1,,
91006,Battery Electric,2135,34.136258,-118.026704
91007,Battery Electric,1669,34.128284,-118.047732
91008,Battery Electric,92,34.153159,-117.968818
91009,Battery Electric,4,,
91010,Battery Electric,514,34.141586,-117.957627
91011,Battery Electric,2019,34.222119,-118.205306
91012,Battery Electric,9,,
91016,Battery Electric,1174,34.1528,-118.000482
91017,Battery Electric,7,,
91020,Battery Electric,251,34.211341,-118.230652
91021,Battery Electric,2,,
91024,Battery Electric,544,34.168771,-118.050216
91025,Battery Electric,4,,
91030,Battery Electric,1326,34.108957,-118.156615
91031,Battery Electric,13,,
91034,Battery Electric,1,,
91040,Battery Electric,839,34.261962,-118.336078
91041,Battery Electric,3,,
91042,Battery Electric,925,34.322618,-118.23757
91043,Battery Electric,1,,
91046,Battery Electric,6,34.211452,-118.241036
91066,Battery Electric,12,,
91077,Battery Electric,3,,
91101,Battery Electric,727,34.146671,-118.139455
91102,Battery Electric,5,,
91103,Battery Electric,787,34.169538,-118.164941
91104,Battery Electric,1180,34.165356,-118.123751
91105,Battery Electric,1069,34.13946,-118.166649
91106,Battery Electric,991,34.139402,-118.128658
91107,Battery Electric,1757,34.155533,-118.086178
91108,Battery Electric,1370,34.122671,-118.112911
91109,Battery Electric,14,,
91111,Battery Electric,1,,
91114,Battery Electric,3,,
91115,Battery Electric,2,,
91116,Battery Electric,3,,
91117,Battery Electric,2,,
91118,Battery Electric,9,,
91125,Battery Electric,1,,
91126,Battery Electric,1,,
91177,Battery Electric,1,,
91201,Battery Electric,731,34.17051,-118.289463
91202,Battery Electric,909,34.168366,-118.267771
91203,Battery Electric,623,34.153338,-118.262974
91204,Battery Electric,547,34.136194,-118.260934
91205,Battery Electric,785,34.13658,-118.245839
91206,Battery Electric,1217,34.160359,-118.213769
91207,Battery Electric,532,34.181293,-118.260277
91208,Battery Electric,955,34.185666,-118.239494
91209,Battery Electric,5,,
91210,Battery Electric,35,34.144557,-118.256507
91214,Battery Electric,1649,34.236302,-118.249185
91220,Battery Electric,1,,
91221,Battery Electric,4,,
91222,Battery Electric,2,,
91224,Battery Electric,1,,
91225,Battery Electric,2,,
91226,Battery Electric,3,,
91301,Battery Electric,1665,34.123286,-118.758541
91302,Battery Electric,2738,34.123305,-118.671025
91303,Battery Electric,535,34.198292,-118.600913
91304,Battery Electric,1478,34.224196,-118.632394
91305,Battery Electric,1,,
91306,Battery Electric,1060,34.209532,-118.577563
91307,Battery Electric,1597,34.200834,-118.6649
91308,Battery Electric,3,,
91309,Battery Electric,1,,
91311,Battery Electric,1734,34.293338,-118.603118
91313,Battery Electric,4,,
91316,Battery Electric,1615,34.160236,-118.515472
91319,Battery Electric,4,,
91320,Battery Electric,2068,34.175969,-118.945127
91321,Battery Electric,741,34.36811,-118.489038
91324,Battery Electric,949,34.238208,-118.55029
91325,Battery Electric,1158,34.237519,-118.517712
91326,Battery Electric,3488,34.281486,-118.556005
91327,Battery Electric,5,,
91328,Battery Electric,4,,
91330,Battery Electric,2,34.247532,-118.526076
91331,Battery Electric,762,34.255442,-118.421314
91334,Battery Electric,1,,
91335,Battery Electric,1427,34.200175,-118.540958
91337,Battery Electric,2,,
91340,Battery Electric,283,34.286687,-118.43508
91341,Battery Electric,2,,
91342,Battery Electric,1602,34.326584,-118.382261
91343,Battery Electric,1175,34.237912,-118.482306
91344,Battery Electric,2298,34.294615,-118.507001
91345,Battery Electric,363,34.265879,-118.456748
91346,Battery Electric,1,,
91350,Battery Electric,2264,34.440891,-118.501747
91351,Battery Electric,830,34.441596,-118.448109
91352,Battery Electric,799,34.230854,-118.365856
91353,Battery Electric,1,,
91354,Battery Electric,1976,34.465755,-118.553789
91355,Battery Electric,1323,34.439855,-118.644401
91356,Battery Electric,1957,34.155097,-118.547553
91357,Battery Electric,10,,
91359,Battery Electric,12,,
91360,Battery Electric,1465,34.212805,-118.882179
91361,Battery Electric,1571,34.136077,-118.888919
91362,Battery Electric,2429,34.193326,-118.818684
91364,Battery Electric,1987,34.15404,-118.593153
91365,Battery Electric,6,,
91367,Battery Electric,2437,34.177311,-118.615704
91372,Battery Electric,11,,
91376,Battery Electric,10,,
91377,Battery Electric,1037,34.184975,-118.766918
91380,Battery Electric,11,,
91381,Battery Electric,1939,34.384697,-118.647244
91384,Battery Electric,725,34.506627,-118.699048
91385,Battery Electric,3,,
91387,Battery Electric,1621,34.402509,-118.363427
91390,Battery Electric,701,34.545587,-118.420095
