Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation,County
35.3855515,-119.1119803,1010,2,116,Kern County
37.4059857,-122.121416,25538,309,11,Santa Clara County
39.111833,-120.877969,107,2,574,Placer County
34.1390039,-117.706921,6898,104,455,Los Angeles County
32.8575383,-117.1852012,14915,180,123,San Diego County
38.489544,-121.323454,4612,73,20,Sacramento County
33.0930727,-117.2910388,10699,113,91,San Diego County
34.185894,-116.432416,208,4,1117,San Bernardino County
37.889098,-122.037553,12094,141,72,Contra Costa County
33.2079607,-117.2819851,6754,87,86,San Diego County
38.743039,-123.476418,117,2,197,Sonoma County
33.745762,-118.208042,6336,64,0,Los Angeles County
33.9258238,-118.2376001,7092,96,28,Los Angeles County
33.67901,-118.014603,13706,205,21,Orange County
33.617844,-117.259304,2054,29,466,Riverside County
33.244442,-117.291178,4075,64,29,San Diego County
34.4359096,-119.803846,2833,44,52,Santa Barbara County
38.4807614,-121.410185,5102,76,10,Sacramento County
33.4617564,-117.6963287,5510,86,104,Orange County
40.551757,-120.675673,17,1,1526,Lassen
39.305245,-123.748616,100,2,191,Mendocino County
34.480247,-117.408184,891,14,1002,San Bernardino County
33.665848,-117.04966,1770,28,478,Riverside County
33.999005,-117.972146,12484,177,124,Los Angeles County
34.4521463,-118.6360958,3987,51,429,Los Angeles County
33.891133,-117.326749,4493,69,508,Riverside County
33.6344767,-117.9184402,16708,242,28,Orange County
39.0199922,-122.0559382,32,1,40,Colusa County
34.160359,-118.213769,25277,372,249,Los Angeles County
33.212444,-117.116098,3465,55,494,San Diego County
33.9559109,-117.3321018,4676,74,335,Riverside County
33.754048,-117.752273,27626,428,139,Orange County
37.043434,-120.033693,126,2,98,Madera County
40.18189,-122.377104,118,2,179,Tehama
40.557483,-124.081215,91,2,102,Humboldt County
37.8731755,-122.4563742,3263,35,68,Marin County
34.196026,-118.992531,3526,56,107,Ventura County
38.045857,-122.861209,54,1,128,Marin County
35.3118622,-120.832629,341,6,244,San Luis Obispo County
37.72272,-122.021552,7659,120,293,Alameda County
35.401934,-120.799362,217,4,179,San Luis Obispo County
33.9577257,-118.3096485,20079,281,62,Los Angeles County
39.045931,-122.941077,75,2,468,Lake County
37.9522715,-122.550052,9347,125,112,Marin County
37.224696,-119.470738,23,1,1063,Madera County
38.652065,-121.25441,4974,70,70,Sacramento County
38.511992,-121.096261,220,4,71,Sacramento County
35.2603549,-118.913783,189,3,122,Kern County
37.667405,-120.629404,72,2,71,Stanislaus
38.1194226,-122.2090254,3112,9,78,Solano County
37.87168,-121.597066,3090,49,-3,Contra Costa County
33.460512,-116.084589,34,1,-58,Riverside County
34.1849261,-118.77057,7720,117,343,Ventura County
37.840645,-122.114877,12007,188,186,Contra Costa County
36.245404,-118.693313,36,1,2056,Tulare County
40.92143,-123.815266,25,1,424,Humboldt County
34.085972,-117.464597,4972,78,354,San Bernardino County
33.399248,-118.435601,31,1,245,Los Angeles County
38.809175,-121.171375,2764,8,132,Placer County
40.3608931,-121.3543113,6,1,1712,Plumas County
32.7987241,-117.2469667,13361,197,8,San Diego County
41.609516,-122.963525,10,1,838,Siskiyou County
37.345785,-120.42415,559,9,62,Merced County
37.209821,-119.749802,90,2,568,Madera County
38.1378861,-120.457094,65,2,676,Calaveras County
32.838798,-116.869956,2315,29,264,San Diego County
37.8995587,-121.8733991,3038,48,271,Contra Costa County
33.882579,-117.442303,3829,59,326,Riverside County
33.95154,-116.520104,263,5,311,Riverside County
34.0705005,-117.934355,10408,125,118,Los Angeles County
37.9613153,-122.5002485,7334,93,47,Marin County
35.652242,-119.4464,54,1,77,Kern
32.721919,-116.788204,299,5,795,San Diego County
37.9652976,-121.781917,2985,3,47,Contra Costa County
33.020908,-117.190346,21693,339,79,San Diego County
38.060475,-122.508496,4635,73,-2,Marin County
37.850411,-122.021124,8021,125,113,Contra Costa County
36.301334,-119.372586,348,4,98,Tulare County
32.7142466,-117.0072678,7581,113,303,San Diego County
34.131587,-117.614893,8323,130,487,San Bernardino County
34.1068035,-118.4151417,41613,629,198,Los Angeles County
37.9043493,-122.2677241,11538,122,133,Contra Costa County
34.757047,-117.350142,71,2,775,San Bernardino County
35.303925,-120.256566,38,1,736,San Luis Obispo
36.627211,-119.731888,250,4,89,Fresno County
32.881449,-115.675459,167,3,-15,Imperial County
34.441596,-118.448109,3835,58,629,Los Angeles County
37.9588379,-122.611688,5667,89,317,Marin County
33.8983315,-117.9111323,17951,210,101,Orange County
32.687552,-115.541028,189,3,-3,Imperial
37.371091,-121.800752,12231,170,154,Santa Clara County
33.80845,-117.791737,21635,335,123,Orange County
34.556111,-117.353632,672,3,869,San Bernardino County
34.127194,-118.295647,33885,477,411,Los Angeles County
38.6379171,-121.3305,6473,94,39,Sacramento County
34.450906,-118.227614,147,3,1107,Los Angeles County
33.0824,-117.127641,10126,159,272,San Diego County
32.6302101,-116.9385545,6303,57,152,San Diego County
37.7377092,-122.239576,9528,129,5,Alameda County
32.777241,-115.127641,15,1,34,Imperial
33.807607,-117.015163,764,12,448,Riverside County
39.09923,-121.138848,234,4,422,Nevada County
37.043286,-119.691306,97,2,413,Madera
37.554269,-120.951523,706,12,25,Stanislaus County
34.1842684,-118.1310397,14976,230,437,Los Angeles County
37.3439781,-121.958945,35917,474,20,Santa Clara County
40.855694,-124.066898,257,3,9,Humboldt County
39.884654,-121.586789,19,1,888,Butte County
37.066986,-122.0056659,1798,13,206,Santa Cruz County
33.936193,-117.493881,5207,80,237,Riverside County
34.2007767,-118.4143209,21477,323,236,Los Angeles County
36.793477,-119.956818,1045,17,85,Fresno County
38.670649,-121.525983,4893,38,6,Sacramento County
37.231045,-120.501072,114,2,46,Merced
37.020043,-120.625404,35,1,36,Merced County
37.672906,-120.946594,1770,28,32,Stanislaus County
37.166199,-121.024432,58,1,48,Merced County
37.160846,-121.983966,4874,77,384,Santa Clara County
34.083305,-117.968609,14126,200,119,Los Angeles County
39.31403,-123.249924,53,1,588,Mendocino
37.671103,-121.406559,1341,21,41,San Joaquin
35.5030678,-119.2774005,178,3,104,Kern County
37.3303684,-121.88439,24106,327,20,Santa Clara County
35.886767,-120.608661,38,1,577,Monterey
34.40778,-119.306554,113,2,135,Ventura County
36.248797,-121.386631,71,2,413,Monterey County
35.484966,-120.944417,88,2,246,San Luis Obispo County
37.8347336,-122.248783,20357,292,135,Alameda County
38.072109,-120.631346,42,1,471,Calaveras
35.162393,-119.425116,29,1,293,Kern County
33.9706149,-118.1656423,8659,56,38,Los Angeles County
37.325955,-121.193383,98,2,181,Stanislaus
36.789273,-119.140345,23,1,1287,Fresno
41.068267,-124.1489841,67,2,0,Humboldt County
33.9677273,-117.2658869,3372,22,539,Riverside County
38.527164,-123.007892,136,3,139,Sonoma
37.7233601,-122.3962416,39957,596,59,San Francisco County
32.573755,-117.120872,2426,38,6,San Diego County
37.3606024,-120.7403361,205,4,38,Merced County
34.957206,-117.827391,36,1,695,Kern
34.2344938,-118.5014299,19193,247,267,Los Angeles County
36.834289,-119.83335,3275,42,106,Fresno County
32.7013147,-117.1974009,7489,94,-5,San Diego County
34.224196,-118.632394,11777,175,270,Los Angeles County
37.553376,-120.714055,78,2,68,Stanislaus County
32.806763,-117.149407,14948,149,127,San Diego County
37.949421,-121.157283,124,2,19,San Joaquin County
38.9627361,-122.634245,42,1,423,Lake County
34.2605131,-118.326723,8253,129,413,Los Angeles County
38.528079,-122.821349,2192,23,31,Sonoma County
33.527867,-116.64762,20,1,1201,Riverside County
39.009801,-121.034707,525,9,549,Placer County
32.9494207,-117.2466505,10498,155,5,San Diego County
38.399281,-121.210116,163,3,35,Sacramento County
38.371538,-122.487307,205,3,440,Sonoma County
33.50186,-117.608646,8476,117,293,Orange County
34.107753,-118.616219,12093,188,423,Los Angeles County
36.61441,-121.786901,1835,29,138,Monterey County
36.874755,-121.630732,101,2,171,San Benito County
35.112617,-118.832292,48,1,194,Kern
33.934335,-117.367319,4187,64,350,Riverside County
39.940063,-120.891328,27,1,1082,Plumas County
33.8040036,-118.350904,19391,259,29,Los Angeles County
38.523861,-120.376629,34,1,1400,Amador
34.108023,-118.456964,34415,528,293,Los Angeles County
33.1585,-117.277163,9728,131,73,San Diego County
35.538809,-120.739893,822,13,268,San Luis Obispo County
34.0317908,-117.9130066,16062,185,182,Los Angeles County
34.95934,-120.490081,706,12,52,Santa Barbara County
34.129772,-118.330989,37183,536,325,Los Angeles County
34.04151,-118.1918603,18018,236,127,Los Angeles County
37.9539711,-122.0610372,9155,61,19,Contra Costa County
37.612612,-121.108568,150,3,20,Stanislaus County
37.129364,-119.219563,9,1,2142,Fresno County
38.4000578,-122.3604533,114,2,28,Napa County
37.131989,-118.15588,8,1,1895,Inyo County
38.012599,-122.687478,281,5,100,Marin County
39.593945,-121.581363,66,2,298,Butte County
34.624395,-120.137875,441,2,229,Santa Barbara County
33.492391,-116.837955,42,1,858,Riverside County
34.737964,-120.543739,58,1,142,Santa Barbara County
39.923446,-122.270806,49,1,106,Tehama County
34.8509668,-119.1650192,43,1,2200,Kern County
33.7263885,-117.9051156,21263,276,20,Orange County
34.689848,-118.533689,42,1,1421,Los Angeles County
36.905389,-119.748632,1935,31,112,Fresno County
38.722374,-120.978633,104,2,471,El Dorado County
35.779507,-119.200825,118,2,117,Kern County
37.9883736,-122.590597,6282,89,72,Marin County
38.76407,-121.287523,8236,25,52,Placer County
37.852904,-122.547207,5520,68,60,Marin County
32.8390419,-117.0986005,15329,215,102,San Diego County
39.806096,-123.516147,8,1,831,Mendocino County
40.603066,-122.186657,51,1,217,Shasta
32.665762,-117.018657,9931,136,55,San Diego County
33.795196,-116.932856,408,7,484,Riverside County
36.469275,-118.800919,23,1,1337,Tulare
