Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
5601.0,5601.0,83.0,2,5440.0,,1,97.12551330119622
55.0,55.0,1.0,40,2624.0,,3,4770.909090909091
79.0,79.0,2.0,20,1408.0,,3,1782.2784810126582
5152.0,5152.0,76.0,12,5632.0,,1,109.3167701863354
3382.0,3382.0,45.0,1,2944.0,,4,87.04908338261383
4132.0,4132.0,65.0,4,4416.0,,1,106.87318489835431
440.0,440.0,7.0,12,1216.0,,3,276.3636363636364
4966.0,4966.0,78.0,20,6272.0,,0,126.29883205799437
8846.0,8846.0,135.0,24,10176.0,,0,115.03504408772326
6.0,6.0,1.0,16,1088.0,,3,18133.333333333336
98.0,98.0,2.0,24,1664.0,,3,1697.9591836734694
387.0,387.0,7.0,16,1472.0,,3,380.3617571059431
11473.0,11473.0,169.0,24,12352.0,,1,107.6614660507278
110.0,110.0,2.0,16,1152.0,,3,1047.2727272727273
668.0,668.0,7.0,48,3520.0,,3,526.9461077844311
1389.0,1389.0,22.0,1,1472.0,,1,105.97552195824333
2227.0,2227.0,35.0,10,2880.0,,0,129.32195779074988
359.0,359.0,6.0,16,1408.0,,3,392.20055710306406
39.0,39.0,1.0,1,128.0,,3,328.2051282051282
397.0,397.0,7.0,2,576.0,,0,145.088161209068
4009.0,4009.0,63.0,6,4416.0,,0,110.15215764529809
70.0,70.0,2.0,2,256.0,,3,365.7142857142857
706.0,706.0,12.0,4,1024.0,,0,145.04249291784703
17221.0,17221.0,203.0,10,13632.0,,4,79.15916613437084
12.0,12.0,1.0,3,256.0,,3,2133.333333333333
14834.0,14834.0,227.0,2,14656.0,,1,98.80005393016044
6613.0,6613.0,104.0,1,6720.0,,1,101.61802510207167
1106.0,1106.0,18.0,1,1216.0,,1,109.94575045207957
93.0,93.0,2.0,10,768.0,,3,825.8064516129032
56.0,56.0,1.0,10,704.0,,3,1257.142857142857
5457.0,5457.0,69.0,12,5184.0,,1,94.99725123694338
9944.0,9944.0,156.0,26,11648.0,,0,117.13596138374899
20.0,20.0,1.0,10,704.0,,3,3520.0000000000005
57.0,57.0,1.0,26,1728.0,,3,3031.578947368421
1370.0,1370.0,22.0,20,2688.0,,3,196.20437956204378
13805.0,13805.0,212.0,24,15104.0,,1,109.40963419051069
6651.0,6651.0,80.0,3,5312.0,,4,79.86768906931289
8.0,8.0,1.0,4,320.0,,3,4000.0
1260.0,1260.0,12.0,1,832.0,,4,66.03174603174602
700.0,700.0,11.0,1,768.0,,1,109.71428571428572
43.0,43.0,1.0,3,256.0,,3,595.3488372093024
33.0,33.0,1.0,10,704.0,,3,2133.333333333333
817.0,817.0,13.0,4,1088.0,,0,133.1701346389229
5158.0,5158.0,81.0,6,5568.0,,1,107.94881737107407
617.0,617.0,6.0,3,576.0,,1,93.354943273906
374.0,374.0,6.0,1,448.0,,0,119.78609625668449
854.0,854.0,14.0,3,1088.0,,0,127.40046838407495
28728.0,28728.0,441.0,3,28416.0,,1,98.9139515455305
21154.0,21154.0,331.0,1,21248.0,,1,100.4443604046516
17166.0,17166.0,255.0,8,16832.0,,1,98.05429337061634
5440.0,5440.0,81.0,1,5248.0,,1,96.47058823529412
246.0,246.0,4.0,4,512.0,,3,208.13008130081303
12320.0,12320.0,188.0,4,12288.0,,1,99.74025974025975
8912.0,8912.0,95.0,3,6272.0,,4,70.3770197486535
