Station ID,Latitude,Longitude,DC Fast Count,City,ZIP,County
307439,34.082614,-117.693215,1,Montclair,91763,San Bernardino County
307474,34.069222,-118.291111,6,Los Angeles,90020,Los Angeles County
307678,35.890519,-120.046479,6,Avenal,93239,Kings County
307812,37.696568,-122.463122,15,Daly City,94014,San Mateo County
307822,38.040229,-122.788374,6,Olema,94950,Marin County
307829,37.521536,-122.337644,8,San Mateo,94402,San Mateo County
307830,35.067164,-118.176193,12,Mojave,93501,Kern County
307831,33.666372,-117.882866,12,Costa Mesa,92626,Orange County
307901,34.18676,-118.61104,3,Woodland Hills,91303,Los Angeles County
307908,34.0004561,-117.7286424,6,Chino Hills,91709,San Bernardino County
308001,37.693726,-120.99507,2,Modesto,95356,Stanislaus County
308419,34.087135,-118.151192,12,Alhambra,91803,Los Angeles County
308420,37.543768,-122.285762,12,San Mateo,94403,San Mateo County
308609,38.5982175,-121.4497449,1,Sacramento,95815,Sacramento County
308746,34.02721,-117.76206,8,Pomona,91766,Los Angeles County
309536,38.521447,-121.970478,1,Winters,95694,Yolo County
309859,34.06397736814085,-117.20820596440451,1,Redlands,92374,San Bernardino County
310517,33.14343,-117.18524,4,San Marcos,92069,San Diego County
310518,36.73752,-119.701303,6,Fresno,93727,Fresno County
310667,39.28712,-120.107261,4,Truckee,96161,Placer County
310673,32.669933,-115.492372,8,Calexico,92231,Imperial County
310674,32.8032271,-115.57052,8,El Centro,92243,Imperial County
310676,33.125359,-115.515516,8,Calipatria,92233,Imperial County
310677,32.9785949,-115.538615,8,Brawley,92227,Imperial County
310769,36.2741917,-118.0030252,1,Olancha,93549,Inyo County
310770,36.2739306,-118.0028519,1,Olancha,93549,Inyo County
310771,36.2739528,-118.0028606,1,Olancha,93549,Inyo County
310779,32.64889,-116.96529,4,Chula Vista,91915,San Diego County
310873,37.923784,-122.087921,6,Walnut Creek,94597,Contra Costa County
310902,33.678489,-116.176113,1,Coachella,92236,Riverside County
311120,34.027718,-118.428197,1,Los Angeles,90064,Los Angeles County
311225,34.02704,-117.7621517,16,Pomona,91766,Los Angeles County
311228,38.792476,-121.298209,24,Roseville,95678,Placer County
311230,34.047628,-117.9071192,20,West Covina,91791,Los Angeles County
311231,38.321792,-122.307478,12,Napa,94558,Napa County
311233,38.362255,-121.963247,12,Vacaville,95687,Solano County
311239,33.893119,-118.353503,8,Lawndale,90260,Los Angeles County
311243,33.678381,-116.29625,8,La Quinta,92253,Riverside County
311244,36.20222389,-121.1297596,16,King City,93930,Monterey County
311247,34.029764,-117.612128,24,Ontario,91761,San Bernardino County
311249,33.91054153,-117.2738467,12,Moreno Valley,92553,Riverside County
311376,37.3672117,-122.0334012,10,Sunnyvale,94087,Santa Clara County
311377,34.22407,-118.50203,4,Northridge,91325,Los Angeles County
311658,37.920564,-122.31572,8,El Cerrito,94530,Contra Costa County
311818,34.146448,-118.112702,4,Pasadena,91107,Los Angeles County
311855,37.41114,-122.09347,3,Mountain View,94043,Santa Clara County
311994,37.377263,-118.422716,24,Bishop,93514,Inyo County
312010,32.80141,-116.93644,8,El Cajon,92021,San Diego County
312147,37.73715,-122.16354,8,Oakland,94603,Alameda County
312515,33.990203,-118.216294,12,Huntington Park,90255,Los Angeles County
312526,37.76549,-122.41673,8,San Francisco,94103,
312795,38.642468809215806,-121.51997605761376,1,Sacramento,95834,Sacramento County
313095,38.656412,-121.07081,12,El Dorado Hills,95762,El Dorado County
313656,37.12973,-121.65476,4,Morgan Hill,95037,Santa Clara County
313713,37.369016,-118.395892,1,Bishop,93514,Inyo County
313734,32.95712,-117.15241,4,San Diego,92129,San Diego County
314114,33.354093,-117.157128,1,Fallbrook,92028,San Diego County
314129,33.35405,-117.157136,1,Fallbrook,92028,San Diego County
314454,37.535895,-122.063079,22,Newark,94560,Alameda County
314458,33.993121,-117.056032,12,Calimesa,92320,Riverside County
314460,37.591262,-122.348877,20,Burlingame,94010,San Mateo County
314461,37.554992,-121.9742,8,Fremont,94538,Alameda County
314466,38.745489,-121.253403,16,Roseville,95661,Placer County
314468,33.5684089,-117.2073358,4,Murrieta,92562,Riverside County
315769,37.739328,-121.530742,1,Tracy,95377,San Joaquin County
