Station ID,Latitude,Longitude,DC Fast Count,City,ZIP
147441,34.10725,-118.0244,3,Arcadia,91006
147442,33.74523,-118.01319,4,Westminster,92683
147561,33.78024,-117.89244,4,Orange,92868
147646,38.43861,-122.71778,6,Santa Rosa,95401
149153,33.93972,-117.2856,4,Riverside,92507
149233,34.27985,-118.77987,1,Simi Valley,93065
149288,33.86675,-117.747716,20,Anaheim,92808
149290,37.963451,-121.737253,10,Antioch,94531
149296,36.226894,-121.761368,8,Big Sur,93920
149303,39.726617,-121.802832,18,Chico,95928
149305,33.826525,-117.515537,20,Corona,92881
149309,38.256618,-122.065062,12,Fairfield,94534
149310,34.151104,-117.47141,24,Fontana,92336
149313,37.667211,-122.120366,16,Hayward,94541
149323,39.689252,-123.483306,8,Laytonville,95454
149326,34.037333,-118.686056,5,Malibu,90265
149333,37.413524,-121.898362,20,Milpitas,95035
149336,37.525919,-122.006513,16,Newark,94560
149339,34.441909,-119.25908,12,Ojai,93023
149342,33.824937,-116.548845,24,Palm Springs,92262
149344,38.730424,-120.787998,12,Placerville,95667
149345,37.700246,-121.908226,10,Pleasanton,94588
149347,33.741478,-116.409777,24,Rancho Mirage,92270
149348,37.91989,-122.348601,12,Richmond,94804
149352,38.347624,-122.720957,12,Rohnert Park,94928
149355,37.798185,-122.448715,6,San Francisco,94129
149356,37.244614,-121.891112,18,San Jose,95118
149357,37.77486,-121.97985,20,San Ramon,94583
149361,38.131238,-122.223418,18,Vallejo,94591
149364,36.915621,-121.773392,18,Watsonville,95076
149421,38.25569,-119.23194,4,Bridgeport,93517
149450,34.21338,-118.46044,3,Van Nuys,91405
149638,37.70068,-121.8844,3,Pleasanton,94588
149639,33.55405,-117.17677,4,Murrieta,92563
149741,33.68106,-117.67077,3,Foothill Ranch,92610
149792,37.95408,-121.96502,3,Concord,94521
149834,38.36731,-121.95685,8,Vacaville,95687
149894,32.67507,-117.09773,3,National City,91950
149960,34.162769,-118.831186,1,Thousand Oaks,91362
150009,33.72977,-118.0267,3,Huntington Beach,92649
150029,35.277468,-116.056712,1,Baker,92309
150181,33.673024,-117.844587,12,Irvine,92612
